iter	Passed	Remaining
0	223	222915
1	262	131037
2	300	99948
3	338	84410
4	378	75299
5	416	69082
6	452	64255
7	489	60748
8	525	57880
9	561	55634
10	598	53810
11	633	52131
12	670	50925
13	715	50381
14	754	49514
15	793	48788
16	831	48072
17	867	47329
18	910	46995
19	952	46667
20	1017	47452
21	1079	47973
22	1124	47748
23	1159	47171
24	1197	46709
25	1237	46349
26	1276	46012
27	1316	45707
28	1357	45442
29	1399	45244
30	1434	44849
31	1474	44588
32	1516	44435
33	1560	44347
34	1604	44234
35	1642	43985
36	1687	43919
37	1733	43887
38	1779	43842
39	1818	43634
40	1857	43441
41	1894	43223
42	1934	43051
43	1975	42911
44	2013	42727
45	2049	42511
46	2090	42396
47	2126	42170
48	2164	42014
49	2208	41960
50	2252	41908
51	2293	41813
52	2329	41619
53	2366	41462
54	2403	41299
55	2441	41164
56	2479	41014
57	2516	40863
58	2554	40746
59	2588	40551
60	2633	40541
61	2671	40418
62	2713	40356
63	2759	40351
64	2794	40201
65	2831	40072
66	2869	39960
67	2907	39845
68	2946	39754
69	2982	39631
70	3020	39519
71	3057	39404
72	3098	39351
73	3136	39251
74	3172	39128
75	3210	39033
76	3254	39012
77	3297	38980
78	3345	38997
79	3386	38944
80	3425	38860
81	3465	38792
82	3506	38743
83	3548	38699
84	3588	38625
85	3631	38598
86	3672	38543
87	3716	38512
88	3761	38507
89	3803	38456
90	3845	38407
91	3886	38355
92	3926	38291
93	3966	38225
94	4008	38183
95	4044	38089
96	4081	37998
97	4120	37929
98	4159	37852
99	4198	37790
100	4242	37766
101	4282	37698
102	4318	37604
103	4354	37512
104	4392	37438
105	4434	37397
106	4471	37314
107	4509	37247
108	4547	37172
109	4590	37137
110	4624	37038
111	4666	36997
112	4711	36986
113	4750	36923
114	4789	36859
115	4826	36780
116	4864	36715
117	4899	36621
118	4942	36589
119	4979	36514
120	5014	36424
121	5054	36373
122	5091	36303
123	5127	36223
124	5163	36142
125	5205	36104
126	5244	36050
127	5281	35982
128	5326	35967
129	5366	35915
130	5407	35867
131	5447	35822
132	5495	35826
133	5533	35761
134	5576	35730
135	5613	35659
136	5653	35611
137	5693	35562
138	5739	35553
139	5780	35506
140	5820	35458
141	5862	35421
142	5905	35391
143	5948	35362
144	5999	35377
145	6038	35321
146	6084	35307
147	6123	35248
148	6166	35219
149	6202	35149
150	6248	35130
151	6288	35085
152	6324	35013
153	6362	34950
154	6399	34888
155	6440	34846
156	6479	34793
157	6523	34766
158	6558	34690
159	6593	34613
160	6631	34558
161	6669	34501
162	6706	34437
163	6750	34410
164	6787	34348
165	6825	34292
166	6862	34229
167	6899	34167
168	6937	34112
169	6971	34036
170	7008	33976
171	7044	33913
172	7083	33862
173	7116	33782
174	7153	33722
175	7195	33685
176	7237	33652
177	7280	33619
178	7319	33570
179	7358	33521
180	7396	33467
181	7435	33419
182	7477	33381
183	7518	33341
184	7556	33290
185	7599	33258
186	7637	33205
187	7677	33161
188	7722	33136
189	7764	33100
190	7807	33070
191	7848	33029
192	7887	32981
193	7930	32947
194	7973	32915
195	8009	32857
196	8045	32796
197	8082	32738
198	8121	32692
199	8162	32650
200	8201	32600
201	8246	32577
202	8279	32507
203	8316	32449
204	8352	32392
205	8389	32334
206	8424	32275
207	8461	32218
208	8497	32159
209	8534	32106
210	8574	32062
211	8612	32010
212	8650	31961
213	8690	31919
214	8730	31874
215	8763	31809
216	8801	31759
217	8840	31711
218	8877	31659
219	8914	31606
220	8949	31547
221	8985	31490
222	9023	31440
223	9054	31368
224	9092	31320
225	9128	31261
226	9178	31256
227	9223	31230
228	9262	31186
229	9303	31146
230	9345	31112
231	9388	31078
232	9427	31033
233	9463	30980
234	9505	30942
235	9546	30904
236	9586	30862
237	9628	30827
238	9669	30788
239	9714	30761
240	9762	30744
241	9798	30692
242	9841	30659
243	9886	30632
244	9919	30568
245	9957	30521
246	9996	30475
247	10039	30442
248	10076	30392
249	10118	30356
250	10159	30315
251	10195	30264
252	10239	30232
253	10278	30187
254	10319	30148
255	10356	30099
256	10388	30034
257	10424	29979
258	10474	29966
259	10515	29927
260	10554	29884
261	10589	29827
262	10631	29792
263	10671	29750
264	10715	29719
265	10752	29671
266	10787	29616
267	10828	29575
268	10868	29534
269	10904	29483
270	10941	29432
271	10980	29388
272	11016	29337
273	11054	29289
274	11091	29241
275	11133	29204
276	11169	29152
277	11213	29122
278	11254	29085
279	11299	29056
280	11335	29004
281	11379	28972
282	11420	28935
283	11460	28893
284	11502	28858
285	11544	28821
286	11584	28778
287	11618	28723
288	11658	28681
289	11700	28647
290	11741	28606
291	11780	28563
292	11819	28519
293	11864	28490
294	11915	28476
295	11959	28444
296	11997	28399
297	12045	28376
298	12088	28342
299	12132	28308
300	12174	28272
301	12221	28246
302	12273	28233
303	12314	28194
304	12359	28163
305	12399	28120
306	12444	28090
307	12478	28036
308	12517	27992
309	12559	27955
310	12596	27906
311	12640	27873
312	12681	27834
313	12723	27798
314	12761	27751
315	12803	27712
316	12843	27671
317	12880	27624
318	12916	27574
319	12956	27532
320	12994	27485
321	13033	27443
322	13080	27417
323	13124	27383
324	13158	27328
325	13195	27281
326	13230	27229
327	13264	27175
328	13300	27125
329	13336	27076
330	13375	27033
331	13420	27003
332	13459	26958
333	13504	26928
334	13550	26899
